,equity,state,hold,buy,sell
0,WIKI/TSLA,10909060100,0,0,63
1,WIKI/TSLA,10707080200,0,0,0
2,WIKI/TSLA,909000201,0,-96,0
3,WIKI/TSLA,10202090000,1213,0,0
4,WIKI/TSLA,10202030100,0,0,0
5,WIKI/TSLA,50000090201,0,0,-219
6,WIKI/TSLA,50000050201,0,0,0
7,WIKI/TSLA,50505010202,0,618,0
8,WIKI/TSLA,10101080100,786,0,0
9,WIKI/TSLA,50404060200,0,0,0
10,WIKI/TSLA,10404030000,0,0,833
11,WIKI/TSLA,10202050100,0,0,746
12,WIKI/TSLA,10707080201,0,-113,0
13,WIKI/TSLA,50000070201,0,594,0
14,WIKI/TSLA,50505020000,0,0,0
15,WIKI/TSLA,50303020100,0,0,550
16,WIKI/TSLA,50303020102,0,0,0
17,WIKI/TSLA,909090201,0,0,0
18,WIKI/TSLA,50101040201,0,0,544
19,WIKI/TSLA,606050300,0,-37,0
20,WIKI/TSLA,707060302,0,107,0
21,WIKI/TSLA,10505020500,0,0,0
22,WIKI/TSLA,50505020502,10,0,0
23,WIKI/TSLA,50808090200,0,0,0
24,WIKI/TSLA,50202010201,0,0,0
25,WIKI/TSLA,10303010400,0,0,0
26,WIKI/TSLA,10909060200,-705,0,0
27,WIKI/TSLA,10909060201,0,0,0
28,WIKI/TSLA,50808040201,0,0,0
29,WIKI/TSLA,50505010300,0,0,0
30,WIKI/TSLA,10707060502,0,0,0
31,WIKI/TSLA,50909080200,48,0,0
32,WIKI/TSLA,50909080201,0,0,0
33,WIKI/TSLA,10909030100,0,0,0
34,WIKI/TSLA,10404090000,1081,0,0
35,WIKI/TSLA,707040402,123,0,0
36,WIKI/TSLA,50707090201,0,0,-347
37,WIKI/TSLA,10202050201,0,0,0
38,WIKI/TSLA,10606030502,0,0,0
39,WIKI/TSLA,606050201,0,0,0
40,WIKI/TSLA,10707060402,0,0,0
41,WIKI/TSLA,50202070201,0,0,0
42,WIKI/TSLA,50808090302,0,0,10
43,WIKI/TSLA,50909090500,-296,0,0
44,WIKI/TSLA,50808000201,0,0,0
45,WIKI/TSLA,10101030100,0,0,0
46,WIKI/TSLA,10202090201,0,0,0
47,WIKI/TSLA,50808050400,0,0,424
48,WIKI/TSLA,50808050402,0,0,0
49,WIKI/TSLA,50000080100,0,590,0
50,WIKI/TSLA,606070502,0,0,0
51,WIKI/TSLA,50000020200,0,0,590
52,WIKI/TSLA,50000020201,0,0,0
53,WIKI/TSLA,707040502,0,0,0
54,WIKI/TSLA,10404030201,0,0,0
55,WIKI/TSLA,50505000201,0,0,0
56,WIKI/TSLA,707060502,0,0,0
57,WIKI/TSLA,10101010200,0,0,0
58,WIKI/TSLA,10101010201,0,0,0
59,WIKI/TSLA,50202070300,0,0,0
60,WIKI/TSLA,50303070000,0,0,587
61,WIKI/TSLA,10505020201,0,0,0
62,WIKI/TSLA,10303070000,1081,1709,0
63,WIKI/TSLA,50909000500,0,0,-1200
64,WIKI/TSLA,50909090102,0,0,0
65,WIKI/TSLA,10101030201,0,0,1709
66,WIKI/TSLA,10404040000,526,0,0
67,WIKI/TSLA,50000050500,0,0,101
68,WIKI/TSLA,50000080201,0,0,0
69,WIKI/TSLA,50505010201,0,0,0
70,WIKI/TSLA,10909030201,0,0,73
71,WIKI/TSLA,10404090201,0,0,0
72,WIKI/TSLA,50000070502,0,0,594
73,WIKI/TSLA,50909040500,-718,0,0
74,WIKI/TSLA,10606030201,0,0,0
75,WIKI/TSLA,50808040500,0,-1200,0
76,WIKI/TSLA,10404040201,0,0,0
77,WIKI/TSLA,50303070100,0,0,0
78,WIKI/TSLA,10909060502,0,0,0
79,WIKI/TSLA,50101090201,0,0,0
80,WIKI/TSLA,10909090200,0,63,0
81,WIKI/TSLA,10909090201,0,0,0
82,WIKI/TSLA,909090202,0,0,-96
83,WIKI/TSLA,10303010201,0,0,0
84,WIKI/TSLA,50202010100,454,0,0
85,WIKI/TSLA,10202030000,0,0,873
86,WIKI/TSLA,50505010100,0,0,0
87,WIKI/TSLA,50606000201,0,0,0
88,WIKI/TSLA,606070201,0,2,0
89,WIKI/TSLA,10101080000,0,0,0
90,WIKI/TSLA,50404060100,0,587,0
91,WIKI/TSLA,50505000400,0,0,0
92,WIKI/TSLA,606090200,-37,0,0
93,WIKI/TSLA,50101040100,0,0,0
94,WIKI/TSLA,10404020200,0,0,0
95,WIKI/TSLA,10404020201,0,0,44
96,WIKI/TSLA,50808000500,-158,0,0
97,WIKI/TSLA,10303070201,0,0,0
98,WIKI/TSLA,50101090300,0,0,0
